Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.3705894947052002,-7,-323,-4094,-109,114,72
0.8711445331573486,-12,-317,-4101,-89,102,41
1.3840405941009521,-8,-309,-4102,-104,83,39
1.8714122772216797,-13,-316,-4109,-114,109,66
2.384260654449463,-8,-313,-4109,-123,115,49
2.8785338401794434,-16,-324,-4105,-97,100,31
3.371577024459839,-12,-321,-4109,-111,113,50
3.871741533279419,-10,-308,-4103,-102,85,47
4.3871588706970215,-9,-331,-4105,-114,113,44
4.88607931137085,-15,-324,-4097,-106,89,31
5.3869242668151855,-16,-310,-4109,-103,95,44
5.888201475143433,-13,-315,-4092,-102,106,37
6.372527122497559,-9,-328,-4100,-109,112,27
6.8760621547698975,-8,-330,-4098,-85,103,29
7.3887856006622314,-17,-313,-4111,-104,103,47
7.87524676322937,-4,-317,-4110,-89,90,34
8.388293266296387,-17,-326,-4107,-92,73,38
8.877833127975464,-25,-317,-4102,-92,94,26
9.375786781311035,-17,-318,-4095,-101,69,27
9.876728773117065,-20,-323,-4105,-112,120,38
10.387453556060791,-17,-323,-4103,-119,93,28
10.878997564315796,-9,-310,-4110,-100,96,46
11.388168096542358,-14,-326,-4099,-86,89,51
11.878743410110474,-14,-315,-4109,-116,95,62
12.388572216033936,-18,-320,-4098,-100,128,26
12.879602670669556,-13,-317,-4109,-91,97,36
13.377564191818237,-16,-304,-4101,-121,101,36
13.879644870758057,-21,-319,-4103,-84,80,28
14.382930040359497,-16,-314,-4111,-87,85,42
14.885055541992188,-9,-326,-4114,-80,101,48
15.384607791900635,-23,-311,-4104,-117,106,46
15.884526014328003,-20,-318,-4108,-92,72,35
16.384936571121216,-24,-323,-4112,-114,107,37
16.88543701171875,-3,-337,-4105,-118,122,63
17.386836528778076,-7,-317,-4107,-108,117,55
17.883090257644653,-21,-316,-4110,-92,126,30
18.38702630996704,-20,-317,-4110,-144,95,43
18.885422229766846,-21,-316,-4112,-91,111,38
19.386086463928223,-17,-320,-4104,-132,109,30
19.88967204093933,-6,-312,-4099,-105,86,48
20.385682582855225,-6,-317,-4097,-117,96,33
20.887863636016846,-17,-315,-4098,-107,105,36
21.387354612350464,-82,-245,-4092,-1003,-427,876
21.88656234741211,-44,-429,-4104,70,77,409
22.38660717010498,-95,-378,-4088,90,15,1751
22.890315771102905,37,-291,-4121,-82,154,3092
23.388261556625366,-73,-277,-4129,-219,3,4126
23.885350465774536,-69,-224,-4137,10,261,4532
24.38902974128723,45,-308,-4057,-168,73,5544
24.887773752212524,-6,-230,-4099,21,-43,6674
25.391385555267334,-68,-220,-4090,21,-116,6258
25.888512134552002,-93,-219,-4139,-228,75,6885
26.390637636184692,-18,-336,-4045,498,116,6770
26.894360303878784,52,-301,-4238,252,297,7500
27.39032220840454,-49,-271,-4167,-60,20,7620
27.890441417694092,79,-355,-4109,-137,375,7631
28.391335010528564,-142,-248,-4095,-445,-449,7435
28.892525911331177,20,-322,-4088,327,342,7594
29.39513397216797,-85,-276,-4031,-453,-770,7562
29.891810655593872,-68,-201,-4033,-276,9,1061
30.398967504501343,-4,133,-4048,140,109,100
30.896780967712402,207,-481,-3958,-542,535,493
31.399219036102295,53,-42,-4138,1022,-391,140
31.900571823120117,149,298,-4026,-1546,828,101
32.3992018699646,-235,-477,-3892,878,-34,140
32.899887561798096,101,-534,-3951,544,112,-546
33.401243686676025,-1,-130,-3982,403,236,245
33.90208864212036,29,-386,-4062,70,-48,451
34.400896310806274,133,-292,-4222,-336,495,168
34.902215242385864,237,-740,-4200,-647,132,222
35.40298914909363,213,-633,-4074,328,495,-357
35.903199434280396,-37,711,-3897,450,830,37
36.40327525138855,91,-30,-4028,-485,265,43
36.90467572212219,78,-446,-4288,-2020,457,52
37.40515732765198,-4,-1704,-3824,1045,459,233
37.90098190307617,-31,-769,-4092,-43,58,102
38.40495800971985,-197,-331,-4137,468,-942,-84
38.90336990356445,72,344,-3930,-1321,187,1
39.416292667388916,45,173,-4057,-55,-88,27
39.90461850166321,175,-33,-4431,399,1208,-26
40.40305805206299,-116,-539,-4238,-591,343,26
40.90386509895325,-22,-464,-4116,-210,89,54
41.44137763977051,-85,-754,-4075,359,40,92
41.939661264419556,-56,-268,-3709,-502,532,290
42.40784978866577,19,-419,-3863,-301,387,78
42.9416184425354,-397,-168,-3842,-480,207,222
43.44613027572632,-126,-420,-4216,-504,1084,86
43.940868616104126,81,-435,-4129,746,-103,-12
44.40503454208374,-126,-377,-4415,-431,-1231,8
44.91904926300049,-56,96,-4110,121,-127,-83
45.447447061538696,46,-906,-4153,824,247,394
45.94181728363037,162,488,-4034,713,1081,-162
46.49153995513916,-62,-1262,-3992,-492,273,343
46.91880750656128,-51,-57,-3659,-486,-673,426
