Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.27221012115478516,-22,-323,-4102,-93,85,44
0.7749080657958984,-17,-330,-4106,-96,87,44
1.2708830833435059,-11,-339,-4100,-105,105,42
1.7664637565612793,-16,-329,-4123,-92,79,32
2.281911849975586,-20,-331,-4095,-97,103,44
2.7714593410491943,-13,-335,-4110,-117,98,27
3.269719123840332,-16,-331,-4102,-98,92,56
3.7720534801483154,-13,-336,-4105,-104,82,41
4.271275281906128,-10,-329,-4101,-116,103,64
4.770752668380737,-22,-327,-4098,-106,78,47
5.27008843421936,-13,-327,-4090,-85,112,41
5.771939516067505,-14,-326,-4097,-109,104,27
6.270523548126221,-16,-323,-4114,-97,100,32
6.7712178230285645,-18,-332,-4117,-117,88,47
7.270646095275879,-22,-321,-4114,-98,91,53
7.772351026535034,-18,-331,-4099,-120,92,27
8.279093503952026,-16,-338,-4108,-97,105,34
8.772143125534058,27,158,-3885,-607,58,58
9.28303575515747,-19,-1153,-4065,940,4,189
9.77100157737732,-61,-461,-4040,125,-84,-5
10.283711194992065,-18,-225,-4113,-353,106,112
10.780389308929443,-97,-27,-4272,-1557,-71,16
11.28258490562439,178,-811,-4297,-1692,279,-457
11.782972812652588,-23,-73,-4136,-518,-529,-18
12.280451774597168,-1,-340,-4111,-564,258,123
12.781234979629517,-180,69,-4177,1008,352,141
13.288015604019165,71,-336,-4253,450,446,263
13.782724142074585,-898,-281,-3931,-8,552,167
14.288363456726074,-49,-592,-4134,480,252,-192
14.78115963935852,-21,708,-4162,-2315,269,-2
15.313878536224365,97,-518,-4395,-154,-188,105
15.783744812011719,55,-1001,-4085,154,163,45
16.28532314300537,219,-624,-4132,-269,-19,52
16.788564682006836,32,-64,-3977,415,276,48
17.286970615386963,-34,-22,-4083,-258,188,-10
17.783478260040283,57,-1010,-4184,942,267,189
18.286977291107178,50,-1024,-4169,-191,198,38
18.78660249710083,439,-594,-4220,-322,662,24
19.289640426635742,-47,-204,-3935,-554,51,-89
19.782830476760864,54,86,-4073,-540,21,77
20.290143251419067,-291,200,-3787,-561,-146,-221
20.787726879119873,-1084,-1154,-4331,1318,-402,-173
21.288952589035034,-67,-951,-4092,312,-183,121
21.788223028182983,5,-682,-4081,-16,86,67
22.289790868759155,167,-764,-4215,-236,525,257
22.787420988082886,724,-27,-4516,-3039,2413,-57
23.28195810317993,194,691,-4008,-1628,523,56
23.782399654388428,-64,18,-4096,554,-163,231
24.2834415435791,-40,78,-4115,-128,254,-54
24.783633708953857,-47,90,-3844,187,-486,104
25.286039113998413,370,-1293,-4058,1452,1652,17
25.784099102020264,119,-1039,-4026,-380,273,3
26.282784938812256,-123,-689,-4102,-408,13,34
26.783225059509277,-283,350,-4037,-1042,6,31
27.28405475616455,-5,147,-4135,53,70,52
27.785374879837036,-8,-68,-4316,125,178,-112
28.289065837860107,68,-411,-4102,5,221,-105
28.79882550239563,-12,-679,-4253,107,371,68
29.286834239959717,-311,-804,-4082,660,-49,237
29.785012006759644,-100,-290,-3993,456,-303,427
30.286388397216797,6,25,-4062,-402,68,68
30.786019325256348,37,88,-3909,9,-362,230
31.287324905395508,179,-763,-4107,-1543,-29,180
31.785527229309082,-36,-512,-4060,-389,38,78
32.28976488113403,115,-660,-4186,-182,-359,228
32.79815626144409,9,-245,-4112,-279,152,-53
33.29028344154358,-41,-89,-4164,96,211,55
33.79742670059204,128,-42,-3912,658,1165,-37
34.28857898712158,254,-430,-4130,-1146,980,-45
34.787835121154785,93,-626,-4129,49,321,14
35.30193591117859,-57,-748,-4028,-451,-53,241
35.80201053619385,-177,-615,-3948,363,1025,146
36.30475306510925,259,1301,-4014,-1997,154,151
36.789965867996216,-119,44,-4081,293,-164,262
37.29053497314453,-30,26,-4108,-30,91,-74
37.80237793922424,-112,63,-3999,-214,-10,313
38.29271364212036,101,-579,-4014,-625,-404,229
38.803162813186646,-106,-268,-4202,-979,-324,274
39.384337186813354,114,-900,-4039,-1954,-863,319
39.80496144294739,-93,-627,-4233,-384,-50,248
40.36097478866577,70,-689,-4081,-405,403,37
40.8600537776947,52,665,-4027,241,70,167
41.35533833503723,-4,-233,-4082,621,77,196
41.79829216003418,1,-477,-4096,-251,164,137
42.361151933670044,-46,-911,-4205,-14,283,24
42.86224961280823,31,-275,-4144,-233,89,7
43.363195180892944,-108,31,-4204,-168,61,15
43.85852551460266,56,-657,-4276,-1438,390,119
44.36396646499634,-9,-595,-4062,-285,-17,66
44.84818696975708,-155,-264,-4136,-1197,-186,206
45.37476897239685,-16,-43,-4022,-475,2,328
45.86775016784668,-172,56,-4080,810,-180,121
46.365190505981445,-8,-659,-3902,-292,-227,29
46.861475229263306,42,-1053,-4143,236,145,-36
47.36376428604126,-33,-502,-4041,-1163,-404,86
47.85967206954956,155,-628,-4299,-66,988,111
48.36004567146301,230,-284,-4310,673,369,140
48.85938811302185,18,-17,-4090,-194,138,-8
49.36152267456055,-110,61,-4100,-379,75,-78
49.828572034835815,-112,-359,-4048,-133,-53,241
50.327481508255005,51,-670,-4234,44,460,3
50.82364344596863,-246,15,-4140,-57,-63,-24
51.32294011116028,-14,279,-4133,-991,-194,62
51.82471203804016,-151,49,-4112,-77,-117,121
52.323715925216675,185,-992,-4217,1031,-226,-20
52.84374141693115,30,-1054,-4082,212,84,41
53.34485054016113,18,-625,-4111,-54,81,76
53.84408402442932,121,-868,-4352,1034,800,-18
54.322062492370605,93,1118,-4113,-2502,170,40
54.822465896606445,279,-99,-4184,-255,1190,111
55.320754051208496,-42,73,-4090,-615,20,40
55.82067632675171,18,-707,-3872,989,-190,272
56.3203763961792,-32,-1031,-4054,421,245,152
56.82134032249451,-232,-714,-3957,-52,-404,282
57.32394289970398,-94,-191,-4223,-487,-196,-201
57.82187628746033,-23,91,-4104,-276,103,23
58.32300615310669,-82,-371,-4028,-762,-331,194
58.82458853721619,-68,9,-4242,-420,92,133
59.32268714904785,-148,-281,-3998,-1674,-354,46
59.82284641265869,-64,-198,-4122,742,-139,-70
60.323031187057495,-29,371,-3837,-513,193,220
60.82584834098816,93,-491,-3982,-597,148,63
61.318683385849,11,-56,-4016,81,199,188
61.82014799118042,-358,-554,-3991,-263,-179,242
62.317174673080444,-35,-513,-4100,-46,119,62
62.8172504901886,-66,-248,-3800,-580,-339,99
63.3161244392395,-242,44,-4480,1344,955,246
63.81476068496704,43,-300,-4168,-372,403,-212
64.32134342193604,25,-731,-4112,154,293,-11
64.81444668769836,-30,-509,-3913,-1345,-432,344
65.31398344039917,-13,-158,-4056,-171,142,101
65.81094169616699,72,280,-4044,-713,-45,-133
66.31205630302429,4,-334,-4164,-86,242,-126
66.81112384796143,23,-652,-4009,864,299,213
67.31008505821228,109,185,-4226,634,-314,98
67.83836722373962,50,-50,-4165,147,155,142
68.34806728363037,-89,-617,-3863,1619,-81,-140
68.83943891525269,-109,-504,-4086,93,46,72
69.31152009963989,-76,-768,-3916,310,-37,168
69.84060859680176,-64,479,-4237,-1556,-279,75
70.33932662010193,-65,111,-4099,-37,205,110
70.84071326255798,18,100,-3910,-345,-167,95
71.34103012084961,29,-390,-4003,-735,164,111
71.841552734375,-23,-546,-4022,343,136,122
72.3394341468811,28,-620,-3807,-739,-88,526
72.81758975982666,-138,22,-4054,1693,470,-78
73.31718921661377,15,-23,-4094,594,129,93
73.84091782569885,28,9,-3988,-431,44,207
74.31924390792847,331,-820,-4201,1255,-188,33
74.8206353187561,61,-941,-4169,83,124,49
75.34257936477661,54,126,-4100,-929,379,183
75.82007050514221,105,121,-4277,270,799,199
76.31690859794617,19,-414,-4174,166,288,-146
76.8455822467804,160,-852,-4033,-240,-82,71
77.35792851448059,-4,-235,-4087,-76,-38,47
77.86193537712097,0,100,-3992,-570,96,151
78.35585498809814,-6,-1299,-4177,214,30,86
78.8172709941864,-12,-669,-4148,-533,107,5
79.35568070411682,-249,63,-4199,-679,-1169,38
79.84796380996704,16,178,-4141,-297,39,23
80.36178994178772,30,-669,-4145,831,-136,-245
80.85662651062012,-2,-861,-4079,613,25,-32
81.35673451423645,171,-126,-4127,-3251,139,-369
81.85659074783325,60,-300,-4124,-1680,-112,117
82.34424686431885,-142,-231,-4111,-333,-508,166
82.85821104049683,17,-380,-4112,-61,98,87
83.34147906303406,-4,-378,-4109,-51,107,8
83.84208941459656,0,-351,-4098,-96,89,9
84.34370017051697,-11,-309,-4110,-130,92,58
84.84103226661682,78,-783,-4075,-953,-54,-25
85.33918309211731,18,-341,-4073,-4,159,23
85.84382462501526,55,-386,-4071,-742,27,-23
86.3449079990387,-107,178,-4027,305,60,246
