Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.48000526428222656,16,-373,-4114,-106,100,32
0.980334997177124,8,-367,-4100,-119,120,49
1.4798858165740967,17,-376,-4101,-104,92,20
1.978872537612915,18,-364,-4097,-110,98,51
2.478623867034912,2,-372,-4099,-114,107,30
2.9795596599578857,10,-380,-4109,-117,106,35
3.4845385551452637,11,-381,-4109,-119,98,29
3.981649398803711,13,-363,-4087,-121,93,40
4.479815483093262,13,-374,-4115,-111,110,41
4.980088472366333,15,-383,-4111,-109,117,31
5.483299255371094,9,-372,-4090,-94,87,47
5.9832329750061035,9,-384,-4114,-121,101,37
6.483037233352661,10,-375,-4100,-96,81,38
6.981610536575317,6,-367,-4113,-94,94,47
7.480354070663452,13,-370,-4102,-101,110,39
7.98393988609314,15,-363,-4105,-115,117,32
8.483174800872803,44,-323,-4109,-112,80,20
8.983587741851807,16,-369,-4111,-104,103,61
9.483845233917236,8,-376,-4109,-107,110,39
9.981532096862793,7,-383,-4110,-112,103,23
10.484832286834717,11,-371,-4118,-95,98,41
10.981993675231934,14,-374,-4105,-101,92,25
11.482923984527588,12,-375,-4107,-93,107,49
11.985833644866943,13,-375,-4118,-88,109,41
12.484763622283936,21,-372,-4114,-79,73,27
12.987186908721924,14,-377,-4113,-93,94,50
13.488327741622925,12,-381,-4107,-124,135,23
13.984884262084961,8,-367,-4105,-101,102,41
14.488460779190063,12,-378,-4112,-95,78,20
14.986690521240234,9,-381,-4100,-108,123,45
15.48557996749878,3,-370,-4090,-98,105,28
15.985878467559814,15,-373,-4110,-104,106,29
16.48467779159546,8,-384,-4112,-99,100,48
16.986392736434937,5,-374,-4102,-101,101,61
17.48470163345337,1,-375,-4112,-120,94,49
17.99948763847351,7,-364,-4110,-96,127,34
18.500404596328735,15,-375,-4103,-90,101,51
18.997064113616943,13,-376,-4105,-91,50,39
19.487868547439575,10,-389,-4099,-115,103,38
19.99577307701111,14,-375,-4107,-110,91,52
20.49075222015381,17,-370,-4100,-124,92,55
20.996842622756958,12,-370,-4099,-98,79,21
21.487529516220093,15,-371,-4109,-102,111,48
22.00070071220398,15,-372,-4099,-93,103,45
22.489901781082153,8,-377,-4102,-120,115,46
22.996446132659912,11,-384,-4102,-99,92,42
23.490119218826294,12,-370,-4099,-121,97,42
23.99807834625244,10,-366,-4102,-111,89,44
24.493489265441895,9,-368,-4102,-115,95,35
24.998956441879272,13,-379,-4109,-104,116,18
25.489323377609253,9,-369,-4099,-133,73,32
26.001723527908325,14,-370,-4094,-101,104,53
